"Index","LPTC.Close"
2010-01-07,NA
2010-01-14,0
2010-01-21,0.40547
2010-01-29,0
2010-02-08,-0.69315
2010-02-10,0.69315
2010-02-17,0
2010-03-25,-0.69315
2010-03-29,0
2010-03-30,0
2010-03-31,0.51083
2010-04-01,0
2010-04-22,-0.51083
2010-04-23,0.51083
2010-05-04,-0.51083
2010-05-05,0.51083
2010-05-11,-0.51083
2010-05-12,0.51083
2010-05-24,0.18232
2010-05-26,0
2010-06-21,0
2010-06-22,-0.69315
2010-06-23,0.69315
2010-07-01,-0.69315
2010-07-02,0.28768
2010-07-13,0
2010-07-19,0
2010-09-02,0
2010-09-15,-0.28768
2010-09-23,0
2010-09-30,0
2010-10-04,1.20397
2010-10-05,0.69315
2010-10-07,0.93609
2010-10-08,0
2010-10-13,0
2010-10-14,0
2010-10-15,0
2010-11-15,-0.43532
2010-11-16,-0.27763
2010-11-18,0
2010-11-29,0
2010-12-03,-0.04082
2010-12-06,0
2010-12-09,0
2010-12-20,-1.38629
2010-12-22,1.60944
2010-12-28,-0.0339
2010-12-29,-1.06471
2010-12-30,0
2010-12-31,0
2011-01-03,0.69315
2011-01-05,0.22314
2011-01-06,0
2011-01-18,-1.42712
2011-01-19,1.42712
2011-01-20,0
2011-01-27,-0.22314
2011-02-03,-1.20397
2011-02-04,0.91629
2011-02-07,-0.76214
2011-02-08,0.99853
2011-02-17,-0.64185
2011-02-18,0
2011-03-08,0
2011-03-31,0.64185
2011-04-01,-0.64185
2011-04-04,0
2011-04-05,-0.22314
2011-04-06,0.62861
2011-04-29,-0.62861
2011-05-09,0
2011-05-16,0.48551
2011-06-23,-0.77319
2011-06-24,0.91629
2011-07-11,0
2011-07-29,-0.91629
2011-08-10,0
2011-08-24,0.91629
2011-10-26,-0.91629
2011-10-27,0.91629
2011-11-07,-0.91629
2011-11-23,0
2012-01-23,0
2012-01-31,0
2012-02-17,0
2012-02-23,0
2012-02-24,0
2012-02-28,-1.79176
2012-03-01,0
2012-03-12,0
2012-04-02,2.30259
2012-05-03,-2.30259
2012-05-16,0
2012-05-24,0.69315
2012-07-10,-0.69315
2012-09-11,0
2012-09-20,0
2012-09-21,0
2012-12-13,0.69315
2012-12-18,0
2012-12-21,0
2013-01-07,0
2013-01-22,0
2013-02-01,0
2013-02-25,0
2013-03-06,0
2013-03-14,0
2013-04-18,0
2013-05-01,0
2013-05-24,0
2013-06-19,0
2013-06-21,0
2013-07-02,0
2013-07-17,0
2013-09-19,0
2013-12-23,0
2013-12-30,0.40547
2013-12-31,-0.40547
2014-01-23,0
2014-01-31,0
2014-02-03,0
2014-02-10,2.14007
2014-02-11,0.11123
2014-02-12,-1.335
2014-02-13,0.18232
2014-02-14,0.51083
2014-02-18,0.74194
2014-02-19,-0.74194
2014-02-20,0
2014-02-21,-0.22314
2014-02-24,0
2014-02-25,-0.28768
2014-02-27,0.51083
2014-02-28,0.09531
2014-03-03,-0.45199
2014-03-04,0
2014-03-05,0.45199
2014-03-06,-0.45199
2014-03-18,0
2014-04-02,0
2014-04-09,0
2014-04-17,0
2014-04-24,0.13353
2014-04-25,-0.13353
2014-05-09,0
2014-05-22,0
2014-05-28,0
2014-05-30,0
2014-06-04,0
2014-06-09,0
2014-07-08,0
2014-07-11,0
2014-07-22,0
2014-08-14,0
2014-08-21,0.539
2014-08-26,-0.18232
2014-09-04,0
2014-09-10,0
2014-09-12,0
2014-09-16,0
2014-09-29,0
2014-10-22,0
2014-10-27,0
2014-12-01,0.18232
2014-12-09,-0.18232
2014-12-19,0
2015-01-12,0
2015-01-13,-0.10536
